Zeit,Geschwindigkeit,Fahrtrichtung,Lenkwinkel,Abstand_Hindernis
13:25:29.002,50,1,90,65
13:25:29.017,50,1,90,63
13:25:29.032,50,1,90,61
13:25:29.047,50,1,90,67
13:25:29.062,50,1,90,63
13:25:29.077,50,1,90,63
13:25:29.092,50,1,90,62
13:25:29.107,50,1,90,63
13:25:29.121,50,1,90,62
13:25:29.136,50,1,90,61
13:25:29.151,50,1,90,62
13:25:29.166,50,1,90,62
13:25:29.181,50,1,90,60
13:25:29.196,50,1,90,61
13:25:29.210,50,1,90,60
13:25:29.225,50,1,90,59
13:25:29.239,50,1,90,58
13:25:29.300,50,1,90,-2
13:25:29.362,50,1,90,-2
13:25:29.424,50,1,90,-2
13:25:29.492,50,1,90,-2
13:25:29.562,50,1,90,-2
13:25:29.623,50,1,90,-2
13:25:29.650,50,1,90,-4
13:25:29.664,50,1,90,46
13:25:29.679,50,1,90,46
13:25:29.699,50,1,90,45
13:25:29.713,50,1,90,44
13:25:29.726,50,1,90,44
13:25:29.740,50,1,90,43
13:25:29.755,50,1,90,44
13:25:29.769,50,1,90,43
13:25:29.783,50,1,90,43
13:25:29.796,50,1,90,42
13:25:29.810,50,1,90,42
13:25:29.824,50,1,90,42
13:25:29.837,50,1,90,41
13:25:29.851,50,1,90,41
13:25:29.865,50,1,90,41
13:25:29.879,50,1,90,40
13:25:29.892,50,1,90,39
13:25:29.906,50,1,90,39
13:25:29.919,50,1,90,39
13:25:29.933,50,1,90,38
13:25:29.947,50,1,90,39
13:25:29.961,50,1,90,38
13:25:29.974,50,1,90,37
13:25:29.987,50,1,90,37
13:25:30.000,50,1,90,37
13:25:30.013,50,1,90,36
13:25:30.026,50,1,90,36
13:25:30.040,50,1,90,36
13:25:30.053,50,1,90,35
13:25:30.066,50,1,90,35
13:25:30.079,50,1,90,34
13:25:30.092,50,1,90,34
13:25:30.105,50,1,90,34
13:25:30.118,50,1,90,34
13:25:30.131,50,1,90,33
13:25:30.144,50,1,90,33
13:25:30.157,50,1,90,33
13:25:30.169,50,1,90,32
13:25:30.182,50,1,90,32
13:25:30.195,50,1,90,31
13:25:30.208,50,1,90,31
13:25:30.220,50,1,90,30
13:25:30.233,50,1,90,31
13:25:30.246,50,1,90,30
13:25:30.259,50,1,90,30
13:25:30.271,50,1,90,30
13:25:30.284,50,1,90,29
13:25:30.297,50,1,90,29
13:25:30.309,50,1,90,28
13:25:30.322,50,1,90,28
13:25:30.334,50,1,90,27
13:25:30.347,50,1,90,28
13:25:30.360,50,1,90,27
13:25:30.372,50,1,90,27
13:25:30.385,50,1,90,27
13:25:30.398,50,1,90,26
13:25:30.411,50,1,90,26
13:25:30.423,50,1,90,26
13:25:30.436,50,1,90,25
13:25:30.449,50,1,90,25
13:25:30.461,50,1,90,25
13:25:30.474,50,1,90,24
13:25:30.487,50,1,90,25
13:25:30.499,50,1,90,24
13:25:30.512,50,1,90,24
13:25:30.524,50,1,90,24
13:25:30.537,50,1,90,23
13:25:30.549,50,1,90,24
13:25:30.562,50,1,90,23
13:25:30.575,50,1,90,24
13:25:30.587,50,1,90,23
13:25:30.600,50,1,90,24
13:25:30.661,50,1,90,-2
13:25:30.723,50,1,90,-2
13:25:30.785,50,1,90,-2
13:25:30.848,50,1,90,-2
13:25:30.910,50,1,90,-2
13:25:30.980,50,1,90,-2
13:25:31.010,50,1,90,-4
13:25:31.022,50,1,90,12
13:25:31.083,50,1,90,-2
13:25:31.140,50,1,90,-4
13:25:31.257,0,0,90,7
